iter	Passed	Remaining
668	44152	21845
669	44220	21780
670	44282	21712
671	44349	21646
672	44413	21580
673	44480	21514
674	44543	21446
675	44605	21379
676	44672	21313
677	44738	21247
678	44804	21181
679	44866	21113
680	44933	21048
681	44997	20981
682	45062	20914
683	45129	20849
684	45193	20782
685	45258	20715
686	45322	20649
687	45384	20581
688	45451	20515
689	45521	20451
690	45585	20384
691	45652	20319
692	45716	20252
693	45778	20184
694	45842	20117
695	45907	20051
696	45968	19983
697	46029	19915
698	46093	19848
699	46154	19780
700	46220	19714
701	46281	19646
702	46349	19581
703	46418	19516
704	46485	19451
705	46549	19384
706	46610	19316
707	46672	19249
708	46735	19181
709	46801	19115
710	46868	19050
711	46935	18985
712	46999	18918
713	47063	18851
714	47134	18787
715	47197	18720
716	47268	18656
717	47330	18589
718	47391	18521
719	47456	18455
720	47522	18389
721	47586	18322
722	47649	18255
723	47716	18190
724	47780	18123
725	47844	18056
726	47907	17989
727	47969	17922
728	48035	17856
729	48098	17789
730	48165	17724
731	48228	17657
732	48295	17591
733	48361	17525
734	48426	17460
735	48492	17394
736	48556	17327
737	48621	17261
738	48685	17194
739	48747	17127
740	48810	17060
741	48874	16994
742	48944	16929
743	49008	16863
744	49071	16796
745	49136	16730
746	49203	16664
747	49269	16598
748	49338	16534
749	49402	16467
750	49466	16401
751	49528	16333
752	49590	16266
753	49654	16200
754	49717	16133
755	49777	16065
756	49839	15998
757	49905	15932
758	49969	15866
759	50032	15799
760	50093	15732
761	50155	15665
762	50219	15599
763	50283	15532
764	50345	15465
765	50412	15400
766	50477	15333
767	50542	15268
768	50605	15201
769	50670	15135
770	50734	15068
771	50794	15001
772	50858	14935
773	50925	14869
774	50990	14803
775	51054	14737
776	51115	14670
777	51179	14603
778	51242	14537
779	51309	14471
780	51371	14404
781	51432	14337
782	51496	14271
783	51559	14205
784	51625	14139
785	51688	14072
786	51753	14006
787	51818	13941
788	51881	13874
789	51948	13809
790	52010	13742
791	52076	13676
792	52139	13610
793	52200	13543
794	52266	13477
795	52328	13410
796	52394	13345
797	52461	13279
798	52526	13213
799	52595	13148
800	52659	13082
801	52724	13016
802	52790	12951
803	52853	12884
804	52919	12818
805	52983	12752
806	53050	12687
807	53115	12621
808	53177	12554
809	53244	12489
810	53306	12422
811	53370	12356
812	53430	12289
813	53493	12223
814	53554	12156
815	53619	12090
816	53686	12025
817	53751	11959
818	53813	11892
819	53880	11827
820	53944	11761
821	54009	11695
822	54072	11629
823	54133	11562
824	54197	11496
825	54262	11430
826	54327	11364
827	54393	11299
828	54454	11232
829	54517	11166
830	54582	11100
831	54648	11034
832	54714	10969
833	54778	10903
834	54845	10837
835	54909	10771
836	54974	10705
837	55038	10639
838	55098	10573
839	55167	10508
840	55229	10441
841	55290	10375
842	55353	10308
843	55422	10244
844	55484	10177
845	55544	10111
846	55609	10045
847	55675	9979
848	55736	9913
849	55798	9846
850	55867	9781
851	55931	9715
852	55997	9650
853	56062	9584
854	56126	9518
855	56196	9453
856	56259	9387
857	56325	9321
858	56391	9256
859	56454	9190
860	56518	9124
861	56581	9058
862	56644	8992
863	56708	8926
864	56777	8861
865	56840	8795
866	56902	8728
867	56965	8662
868	57031	8597
869	57094	8531
870	57159	8465
871	57223	8399
872	57287	8333
873	57350	8267
874	57415	8202
875	57481	8136
876	57550	8071
877	57619	8006
878	57681	7940
879	57745	7874
880	57813	7809
881	57879	7743
882	57944	7677
883	58011	7612
884	58073	7546
885	58139	7480
886	58207	7415
887	58274	7349
888	58338	7284
889	58403	7218
890	58470	7152
891	58530	7086
892	58597	7021
893	58658	6955
894	58724	6889
895	58789	6823
896	58855	6758
897	58917	6692
898	58987	6627
899	59050	6561
900	59116	6495
901	59180	6429
902	59242	6363
903	59308	6298
904	59373	6232
905	59438	6166
906	59502	6101
907	59566	6035
908	59629	5969
909	59689	5903
910	59755	5837
911	59824	5772
912	59887	5706
913	59950	5640
914	60015	5575
915	60076	5509
916	60140	5443
917	60207	5377
918	60270	5312
919	60332	5246
920	60393	5180
921	60463	5115
922	60523	5049
923	60588	4983
924	60654	4917
925	60715	4851
926	60775	4785
927	60841	4720
928	60906	4654
929	60970	4589
930	61035	4523
931	61098	4457
932	61166	4392
933	61230	4326
934	61295	4261
935	61360	4195
936	61422	4129
937	61489	4064
938	61553	3998
939	61622	3933
940	61689	3867
941	61757	3802
942	61822	3736
943	61887	3671
944	61954	3605
945	62020	3540
946	62081	3474
947	62144	3408
948	62211	3343
949	62275	3277
950	62341	3212
951	62405	3146
952	62468	3080
953	62531	3015
954	62596	2949
955	62658	2883
956	62724	2818
957	62788	2752
958	62853	2687
959	62914	2621
960	62980	2555
961	63041	2490
962	63106	2424
963	63171	2359
964	63238	2293
965	63303	2228
966	63369	2162
967	63434	2097
968	63497	2031
969	63563	1965
970	63628	1900
971	63689	1834
972	63752	1769
973	63818	1703
974	63884	1638
975	63944	1572
976	64009	1506
977	64073	1441
978	64140	1375
979	64203	1310
980	64268	1244
981	64334	1179
982	64396	1113
983	64460	1048
984	64526	982
985	64592	917
986	64655	851
987	64719	786
988	64783	720
989	64849	655
990	64915	589
991	64977	524
992	65041	458
993	65106	392
994	65174	327
995	65238	262
996	65302	196
997	65366	130
998	65429	65
999	65492	0
